uniprot_id	nonstereo_aromatic_smiles	label
P0DMS8	C#CCn1c(=O)[nH]c2[nH]cnc2c1=O	active
P0DMS8	C=CCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1	active
P0DMS8	CC(=O)NCCNc1nc(-c2ccccc2)nc2[nH]c(C(=O)N3CCN(CCCc4ccccc4)CC3)cc12	active
P0DMS8	CC(C)(C)NC(=O)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12	active
P0DMS8	CC(C)(C)NC(=O)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12	active
P0DMS8	CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)NC3CC(C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12	active
P0DMS8	CC(C)(C)OC(=O)NCCCC(=O)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12	active
P0DMS8	CC(C)(C)c1cc(CCNc2ncnc3c2ncn3C2OC(CO)C(O)C2O)cc(C(C)(C)C)c1O	active
P0DMS8	CC(C)(C)n1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1	active
P0DMS8	CC(C)(C)n1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1	active
P0DMS8	CC(C)=CCn1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1	active
P0DMS8	CC(C)=CCn1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1	active
P0DMS8	CC(C)CCn1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1	active
P0DMS8	CC(C)CCn1cc2c(nc(NC(=O)CCCN)n3nc(-c4ccco4)nc23)n1	active
P0DMS8	CC(C)CCn1cc2c(nc(NC(=O)CCCNC(=O)OC(C)(C)C)n3nc(-c4ccco4)nc23)n1	active
P0DMS8	CC(C)CCn1cc2c(nc(NC(=O)NC(C)(C)C)n3nc(-c4ccco4)nc23)n1	active
P0DMS8	CC(C)CCn1cc2c(nc(NC(=O)NC(C)C)n3nc(-c4ccco4)nc23)n1	active
P0DMS8	CC(C)CCn1cc2c(nc(NC(=O)NC3CCCCC3)n3nc(-c4ccco4)nc23)n1	active
P0DMS8	CC(C)CCn1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1	active
P0DMS8	CC(C)NC(=O)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12	active
P0DMS8	CC(C)NC(=O)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12	active
P0DMS8	CC(C)c1nc(-c2nccs2)c2sccc2n1	active
P0DMS8	CC(Cc1ccccc1)Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O	active
P0DMS8	CC(Oc1ccc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1)C(=O)Nc1ccccc1	active
P0DMS8	CC1(C)NC(C)(C)c2cc(NC3NC=Nc4c3ncn4C3OC(CO)C(O)C3O)ccc21	active
